date,home_team,away_team,home_goals,away_goals,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,result,odds_home_win,odds_draw,odds_away_win,season,elo_home_pre,elo_away_pre,elo_diff_pre,form_wins_home,form_points_home,form_goals_scored_home,form_goals_conceded_home,form_shots_on_target_home,form_fouls_committed_home,form_win_streak_home,form_wins_away,form_points_away,form_goals_scored_away,form_goals_conceded_away,form_shots_on_target_away,form_fouls_committed_away,form_win_streak_away,home_squad_value,home_squad_size,away_squad_value,away_squad_size
2015-08-23,Watford,Southampton,0,0,0,5,10,11,D,2.7275,3.26875,2.70875,15,1499.464679565592,1487.8626834311938,11.601996134398178,0.0,2.0,2.0,2.0,10.0,26.0,0,0.0,1.0,2.0,5.0,9.0,23.0,0,80750000.0,30,182250000.0,27
2015-08-23,West Brom,Chelsea,2,3,6,5,9,12,A,6.075,3.8125,1.63625,15,1488.535320434408,1488.535320434408,0.0,0.0,1.0,0.0,3.0,2.0,22.0,0,0.0,1.0,2.0,5.0,6.0,28.0,0,96100000.0,25,536250000.0,25
2015-08-24,Arsenal,Liverpool,0,0,5,8,2,13,D,1.75625,3.81875,4.890000000000001,15,1500.9274427149164,1523.0725572850836,-22.145114570167152,1.0,3.0,2.0,3.0,13.0,24.0,1,2.0,6.0,2.0,0.0,5.0,27.0,2,404000000.0,25,367250000.0,29
2015-08-29,Aston Villa,Sunderland,2,2,6,3,10,14,D,1.9475,3.43375,4.3675,15,1489.8881494305497,1475.0350687577495,14.853080672799932,1.0,3.0,2.0,3.0,6.0,42.0,0,0.0,1.0,4.0,8.0,9.0,40.0,0,103050000.0,30,105000000.0,25
2015-08-29,Bournemouth,Leicester,1,1,2,2,9,19,D,2.17,3.435,3.44875,15,1491.7387296025297,1520.894681775835,-29.155952173304968,1.0,3.0,4.0,5.0,11.0,42.0,1,2.0,7.0,7.0,4.0,16.0,32.0,0,49000000.0,27,81300000.0,23
2015-08-29,Chelsea,Crystal Palace,1,2,9,6,9,15,A,1.35875,4.92625,9.69125,15,1502.5872887225314,1509.0470912857277,-6.459802563196263,1.0,4.0,5.0,7.0,11.0,40.0,1,2.0,6.0,6.0,4.0,17.0,46.0,1,536250000.0,25,122500000.0,31
2015-08-29,Liverpool,West Ham,0,3,1,5,17,11,A,1.37125,5.045,8.9375,15,1524.374869438455,1485.0513965435805,39.32347289487484,2.0,7.0,2.0,0.0,13.0,40.0,0,1.0,3.0,6.0,6.0,11.0,28.0,0,367250000.0,29,144500000.0,27
2015-08-29,Man City,Watford,2,0,5,0,9,12,H,1.20625,7.10625,14.21875,15,1537.1348611002877,1497.0260611221497,40.10879997813822,3.0,9.0,8.0,0.0,24.0,35.0,3,0.0,3.0,2.0,2.0,10.0,36.0,0,418350000.0,25,80750000.0,30
2015-08-29,Newcastle,Arsenal,0,1,0,9,15,8,A,5.77375,4.0425,1.6175000000000002,15,1491.371156610062,1499.625130561545,-8.253973951482749,0.0,2.0,2.0,4.0,6.0,28.0,0,1.0,4.0,2.0,3.0,18.0,26.0,0,157500000.0,30,404000000.0,25
2015-08-29,Stoke,West Brom,0,1,5,5,4,9,A,1.98625,3.365,4.1725,15,1490.589110804999,1474.4833521462847,16.10575865871465,0.0,2.0,3.0,4.0,9.0,25.0,0,0.0,1.0,2.0,6.0,8.0,31.0,0,116250000.0,28,96100000.0,25
2015-08-29,Tottenham,Everton,0,0,6,3,20,9,D,1.99375,3.49,3.95625,15,1491.105318224165,1498.4671350341105,-7.3618168099451395,0.0,2.0,3.0,4.0,17.0,41.0,0,1.0,4.0,5.0,4.0,10.0,22.0,0,277000000.0,25,178830000.0,24
2015-08-30,Southampton,Norwich,3,0,8,1,4,12,H,2.03875,3.43,3.85625,15,1490.3013018746362,1497.6855223326131,-7.38422045797688,0.0,2.0,2.0,5.0,14.0,34.0,0,1.0,4.0,5.0,5.0,19.0,37.0,0,182250000.0,27,77150000.0,29
2015-08-30,Swansea,Man United,2,1,4,4,6,15,H,3.4837499999999997,3.2825,2.2225,15,1512.6902981046378,1520.9034765275503,-8.213178422912733,1.0,5.0,5.0,3.0,25.0,36.0,0,2.0,7.0,2.0,0.0,11.0,37.0,0,135000000.0,28,395750000.0,29
2015-09-12,Arsenal,Stoke,2,0,12,4,6,13,H,1.29625,5.64625,11.21875,15,1513.3992761682096,1476.0017620755514,37.397514092658184,2.0,7.0,3.0,3.0,27.0,34.0,1,0.0,2.0,3.0,5.0,14.0,29.0,0,402000000.0,24,116250000.0,28
